id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21863182,"Loft style, cosy apartment - Kreuzkölln",14746635,Joshua,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.490194162170916,13.421545112627452,Private room,26,4,15,23/07/2018,1.32,1,
21864343,Light room with private bathroom in central Berlin,28542747,Anna,Mitte,Brunnenstr. Nord,52.54089546218121,13.402058255857872,Private room,45,4,7,07/09/2018,2.41,1,6
21864782,Ruhige Wohnung in Pankow 20mn weit weg vom Zentrum,53211747,Alejandro,Pankow,Schönholz/Wilhelmsruh/Rosenthal,52.5750993342943,13.379409866442467,Shared room,16,5,25,19/09/2018,2.4,1,
21866021,cosy room in kreuzberg,111237745,Pier,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49199847253465,13.420182384504196,Private room,26,1,19,28/07/2018,1.62,1,
21866500,Rooftop Loft Studio with a Private Terrace,8710567,Tyson,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51485350481405,13.446821309483369,Entire home/apt,55,1,73,04/11/2018,6.48,1,11
21874591,"1 Room Apt. Kreuzberg, bright, quite, central",153779375,Thomas,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49978359263908,13.442277333081027,Entire home/apt,69,2,31,02/11/2018,2.83,1,2
21877439,Big sunny room in Neukölln Altbau apartment,17958023,Anna,Neukölln,Reuterstraße,52.483535164322866,13.431034079339868,Private room,38,3,12,16/09/2018,1.1,1,5
21878191,Unique 2Rms Central City Apt. Mitte Prime Location,109353960,Angelina,Mitte,Brunnenstr. Süd,52.52999544446106,13.396827381795323,Entire home/apt,99,1,43,02/11/2018,3.81,9,15
21878278,Beautiful studio in the heart of Charlottenburg,54335694,Jens & Cynthia,Charlottenburg-Wilm.,Kurfürstendamm,52.5028086703577,13.311724571413771,Private room,70,2,13,30/09/2018,2.02,1,6
21879026,Tilda - Apartment * renoviert im November 2017*,159603007,Steffi,Pankow,Helmholtzplatz,52.54262666078155,13.419089458635273,Entire home/apt,79,2,42,25/10/2018,3.8,1,29
21879517,Lovely room in the center of Berlin.,21358187,Veronika,Mitte,Brunnenstr. Süd,52.53381504392327,13.401132649486575,Private room,35,1,53,01/11/2018,4.85,1,
21880412,"Spacious, sunny, comfortable room with balcony",16033560,Tajda,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.516203569532486,13.463578471163311,Private room,30,1,15,21/10/2018,1.3,1,1
21880961,Amazing Apt in perfect Mitte location,156893887,Benjamin,Mitte,Brunnenstr. Süd,52.530734531973664,13.403363023998867,Private room,59,1,46,28/10/2018,4.06,1,3
21883425,"Large room with training space, jungle kitchen ;)",159639261,Alex,Neukölln,Neuköllner Mitte/Zentrum,52.46444858481891,13.442832531690666,Private room,25,3,8,03/11/2018,1.21,1,3
21890454,Prime apartment in the most exciting Berlin street,2218080,Bedeir,Mitte,Alexanderplatz,52.52914186492625,13.402593610552975,Entire home/apt,55,4,12,22/09/2018,1.17,1,
21891701,Zentrale Zweiraumwohnung nähe Alexanderplatz,40354692,Thorsten,Mitte,Alexanderplatz,52.50886761597104,13.41516303978605,Entire home/apt,77,3,15,22/05/2018,1.33,1,
21896542,Cozy room in the centre near Checkpoint Charlie,6093732,M,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.504888780333346,13.397223017663674,Private room,53,1,12,04/11/2018,1.05,1,8
21902425,"Spacious lovely flat, 3 bedrooms, Green Zehlendorf",4570719,Florian,Steglitz - Zehlendorf,Teltower Damm,52.42925329394452,13.257948231157672,Entire home/apt,80,4,2,19/10/2018,2.0,1,1
21906202,"""Kreuzkölln"" Dachgeschoss",8827923,Sebastian,Neukölln,Reuterstraße,52.488599435458035,13.427415704938353,Entire home/apt,35,30,39,18/09/2018,3.56,1,10
21907022,Marvelous room in the hottest area in Berlin,5597128,Avi,Tempelhof - Schöneberg,Schöneberg-Nord,52.49951389657313,13.34341231962918,Private room,25,2,62,05/11/2018,5.47,1,7
21907874,Nice clean bedroom and good location,22875963,Andres,Mitte,Wedding Zentrum,52.54869789852879,13.365745597714833,Private room,50,3,49,02/10/2018,4.51,1,
21911198,Single bed in a small cosy appartement.,159867873,Dhia,Steglitz - Zehlendorf,Albrechtstr.,52.460238565427495,13.333189859871219,Shared room,8,1,10,12/10/2018,1.49,1,
21912717,Beautiful Room with Balcony in Prenzlauer Berg,6650021,Snowy,Pankow,Prenzlauer Berg Nordwest,52.551803698080654,13.413766666741523,Private room,45,4,19,20/08/2018,1.81,3,
21916978,Berliner Bequemes Heim,44436062,Alberto,Charlottenburg-Wilm.,Wiesbadener Straße,52.46867355987693,13.314517154163454,Private room,26,3,48,19/10/2018,4.13,1,
21929816,Cozy apt - close to Maybachufer 3,73043880,Mariejo,Neukölln,Reuterstraße,52.492709675080235,13.425267426904869,Entire home/apt,99,3,35,22/10/2018,3.09,4,17
21930381,Room in Rooftop flat in Prenzlauer Berg,1999307,Igor,Pankow,Prenzlauer Berg Nordwest,52.55100482976565,13.402812831063384,Private room,70,2,41,03/11/2018,3.7,2,5
21937216,Exklusive 2-Raum Dachgeschosswohnung - Top Lage,144847867,Frank,Mitte,Wedding Zentrum,52.54297225145539,13.353221519554276,Entire home/apt,89,4,10,28/10/2018,1.22,1,30
21943719,Comfortable Zimmer an der S/Ringbahn Sonnenallee,119582326,Nora,Neukölln,Rixdorf,52.472673251945025,13.453914266180812,Private room,30,2,40,06/11/2018,3.88,1,4
21944216,8 People Vacation Apartment Family & Friends,61830542,Anna & Samir,Neukölln,Britz,52.44973347840858,13.437255143780494,Entire home/apt,159,1,36,04/11/2018,3.22,4,34
21946707,Cosy maisonette  in quiet backyard in Berlin Mitte,87444890,Nadine,Mitte,Alexanderplatz,52.52943049311342,13.399955909887927,Entire home/apt,69,5,17,08/10/2018,1.63,1,2
21948996,Studio under the sky of Berlin!,8787480,Yuliya,Tempelhof - Schöneberg,Schöneberg-Süd,52.47920170983449,13.34824174964126,Entire home/apt,60,3,24,29/10/2018,2.12,1,
21954126,Rooftop Loft w/ terrace & amazing view city center,5072702,Willy,Mitte,Tiergarten Süd,52.505293265276045,13.35781454003559,Entire home/apt,70,21,10,15/08/2018,0.97,1,36
21956391,LOFT SPACE in best central Berlin location!,160283585,Sandra,Mitte,Alexanderplatz,52.52834651014227,13.399656959699131,Entire home/apt,95,7,11,02/11/2018,1.01,1,31
21956662,3 bed room with ensuite bathroom Nr. 1,109995917,Inn-Berlin,Mitte,Osloer Straße,52.560491683005395,13.38600971544372,Private room,72,2,1,18/10/2018,1.0,14,35
21956862,Bed in 4 bed mixed dorm ensuite Nr. 4,109995917,Inn-Berlin,Mitte,Osloer Straße,52.5606040288928,13.386713234632753,Shared room,75,2,3,11/10/2018,2.31,14,35
21957090,Bed in 6 bed mixed dorm Nr. 8,109995917,Inn-Berlin,Mitte,Osloer Straße,52.56010531159523,13.38594825890868,Shared room,16,2,16,01/11/2018,2.68,14,32
21957255,Bed in 8 bed mixed dorm Nr. 7,109995917,Inn-Berlin,Mitte,Osloer Straße,52.56074868850007,13.386962863966485,Shared room,17,2,12,07/10/2018,1.45,14,33
21959228,"cozy, quiet and central",11788627,Gunnar,Charlottenburg-Wilm.,Düsseldorfer Straße,52.498736885087794,13.337224376945496,Entire home/apt,69,4,18,29/10/2018,1.73,1,27
21960873,Villa Kunterbunt,160320310,Marlen,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50695296691498,13.47195444859107,Entire home/apt,25,4,17,03/11/2018,1.5,1,
21963627,Berlin Neukölln hell und mittendrin,3705584,Frauke,Neukölln,Reuterstraße,52.4856420863285,13.44460059834193,Entire home/apt,40,3,6,15/10/2018,1.29,2,15
21965655,Double Room in Prenzlauer Berg next to Mauerpark.,19253140,Matteo,Pankow,Prenzlauer Berg Nordwest,52.547671939507794,13.409556486001664,Private room,29,3,11,12/10/2018,0.96,1,6
21973915,Gemütliches Zimmer in 3er WG Berlin Mitte,160433603,Kaspar,Mitte,Alexanderplatz,52.52912433659263,13.407591459602727,Private room,30,7,12,21/08/2018,1.06,1,12
21976136,"BERLIN. Only for women,large room We are  Family!!",160451606,David,Pankow,Helmholtzplatz,52.543686538177354,13.42578086534727,Private room,39,2,15,17/10/2018,1.36,1,20
21976257,Luxury antique apartment in central Berlin,135973285,Naomi,Mitte,Brunnenstr. Süd,52.53264256685878,13.381038907366646,Entire home/apt,500,2,9,12/10/2018,1.11,6,5
21982711,3 Rooms apartment in Alexanderplatz Berlin,160503306,Hermann,Mitte,Alexanderplatz,52.526315916517525,13.416121568007174,Entire home/apt,70,3,9,08/10/2018,1.36,1,35
21990671,Cozy Room in Friedrichshain,1861312,Jake,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.51228815369662,13.451427587737824,Private room,40,3,12,22/09/2018,1.05,1,5
21993838,"Modern City Loft, Prenzlauer Berg, mit Parkplatz",43109610,Ludwig,Pankow,Helmholtzplatz,52.54648706528316,13.419293948238108,Entire home/apt,90,1,25,30/09/2018,2.21,3,32
22010504,Gemütliches und helles Zimmer,159423958,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.57598333338182,13.397880922822347,Private room,20,2,20,23/10/2018,2.26,1,
22023947,Alexanderplatz cosy private bedroom,575197,André,Mitte,Alexanderplatz,52.52615491936674,13.40934659868372,Private room,49,2,12,28/10/2018,1.08,3,
22025995,Cosy little room in Steglitz near Schlossstraße!,59977269,Janina,Steglitz - Zehlendorf,Schloßstr.,52.46313777755886,13.315670031261943,Private room,30,1,50,28/07/2018,4.48,1,
22026033,Cozy&clean room with view at soviet boulevard,93350588,Iggy,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.516003504343225,13.44548313541688,Private room,43,1,40,27/10/2018,3.56,1,
22030046,Zimmer in Top-Lage direkt am Rosenthaler Platz,10490052,Stefanie,Mitte,Alexanderplatz,52.52771096040477,13.401305812066315,Private room,29,4,5,06/10/2018,1.0,1,
22031057,Room with private bath in central Friedrichshain,132116881,Mike,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.506132060834325,13.46068644070423,Private room,36,3,45,15/10/2018,4.31,1,
22039598,Newly Renovated Apartment next to Maybachufer,4681439,Demetrio,Neukölln,Reuterstraße,52.49405709737033,13.425654701107018,Private room,59,4,19,23/09/2018,1.71,1,
22044007,Best Central Location Alexanderplatz,147746853,Michael,Mitte,Alexanderplatz,52.52568732764352,13.410215530413458,Entire home/apt,59,11,10,27/09/2018,0.96,1,1
22044908,Beautiful panoramic view over Berlin Mauerpark,46211133,Lamine,Mitte,Brunnenstr. Süd,52.539786090993935,13.402941770952665,Entire home/apt,100,3,10,21/09/2018,0.96,1,
22046451,Quiet & modern room in Neukölln for 1 or 2 guests,55941563,Roland,Neukölln,Rixdorf,52.484818349709805,13.447445250819555,Private room,42,2,50,26/10/2018,4.5,1,3
22056152,Beautiful 18m² cozy room by Tempelhof!,77659600,Diogo,Neukölln,Schillerpromenade,52.47817770147443,13.422332633278062,Private room,35,2,47,21/10/2018,4.35,1,5
