id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26938457,"Sonniges Gästezimmer, ideal für Geschäftsreisenden",101085255,Katerina,Mitte,Moabit West,52.52775415735926,13.327815199143703,Private room,45,2,2,27/08/2018,0.69,1,12
26938628,Berlin Wohnung am Wasser,51721219,Andrea,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.411787544529766,13.14198075330535,Entire home/apt,100,60,0,,,1,36
26939247,Berlin Studio in Schöneberg,202695467,Bastin,Tempelhof - Schöneberg,Schöneberg-Süd,52.48438119394719,13.362812227672647,Entire home/apt,40,3,1,19/08/2018,0.37,1,13
26941202,"Cozy studio in Görlitzer Bahnhof, Kreuzberg",53676365,Gizem,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.49968990481975,13.424645854015003,Private room,95,1,0,,,1,8
26943447,Berliner Wohnung in Mitte-Moabit,202727923,Maria,Mitte,Moabit West,52.528760401108165,13.333283137885328,Entire home/apt,30,10,2,30/09/2018,0.9,1,
26948466,Familienparadies in X-Berg,165414350,Nadine,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49275966262524,13.414499273313359,Private room,150,2,1,11/09/2018,0.52,1,19
26948475,Kreuzberger Nächte,141138340,Alex,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49983860989628,13.41157313437069,Private room,45,1,2,25/07/2018,0.56,1,9
26949905,Loft in Kreuzberg,158665330,Robert,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.489708432891426,13.378633061317451,Entire home/apt,245,5,0,,,1,31
26966468,A home in Berlin,68239152,Amelie,Tempelhof - Schöneberg,Schöneberg-Nord,52.493733497470544,13.352191270888486,Entire home/apt,69,2,2,02/09/2018,0.71,1,
26968011,New 2-bed 2-bath apartment in Hackescher Markt,131023649,Kaoru,Mitte,Alexanderplatz,52.52170522844402,13.40593866369314,Entire home/apt,63,60,0,,,3,19
26968340,Extravagantes Zimmer in Top Lage,18979671,Fabio,Treptow - Köpenick,Baumschulenweg,52.46301514583325,13.482446237983908,Private room,59,1,0,,,1,8
26973425,"Large, Modern Loft In Kreuzberg - Work & Play!",3384335,Peter,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50409028803749,13.42137614632417,Entire home/apt,150,14,2,21/08/2018,0.66,1,17
26977665,Villaflaca,141099987,Sylvia,Mitte,Parkviertel,52.54813187245767,13.355009510810524,Private room,20,3,3,17/08/2018,0.83,1,
26978134,Small 2Rooms flat (24.1)/Spandau,79430806,Katya,Spandau,Wilhelmstadt,52.53628800638223,13.182772104725625,Entire home/apt,35,30,0,,,19,28
26985118,"quiet room in big  flat, for professionals only",158600414,Max,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.498197021619895,13.386905903345943,Private room,25,14,2,07/10/2018,0.73,2,3
26988060,Liebevolles berliner Apartment +Balkon am Tierpark,115778232,Sophie,Lichtenberg,Karlshorst,52.489413030873344,13.527017390942271,Entire home/apt,55,3,1,03/08/2018,0.31,1,
26990612,25 minutes till city center Alexanderplatz,203071555,Herbert,Pankow,Blankenfelde/Niederschönhausen,52.58922156256842,13.430591466580855,Entire home/apt,60,30,0,,,1,31
27004843,Kleines Ferienhaus,203192169,Eleonora,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.37935512125653,13.646359914137973,Entire home/apt,30,1,0,,,1,6
